"","person","position_current","source","date_of_appointment","date_of_birth","age","birthplace","sex","barr_appointment","political_affiliation","bachelors","masters","doctorate","law","law_conservative_score","law_rank","connection_trump_all","connection_trump_interviews","connection_trump_campaign","connection_trumpally_all","connection_trumpally_innercircle","connection_trumpally_us_senate","connection_trumpally_state_gov","connection_trumpally_rnc","connection_conservative_all","connection_conservative_lawschool","connection_conservative_firm","connection_conservative_group","connection_conservative_gov","federalist_society","heritage_foundation","american_center_for_law_and_justice","christian_legal_society_bar_association","national_rifle_association_tie","republican_national_lawyers_association_tie","connection_careerprofessional_all","connection_other_all"
"72","Michael G. Bailey","U.S. Attorney for the District of Arizona","prosecutor","",NA,NA,"","male",1,"Republican","Westmont College",NA,NA,"University of Arizona",-0.776,29,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,0,1
"73","Michael Sherwin","U.S. Attorney for the District of Columbia",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,0,0,0,0,0,0,1,1,0,0,0,NA,NA,NA,NA,NA,NA,0,0
"74","Nicholas A. Trutanich","U.S. Attorney for the District of Nevada","prosecutor","1/16/2019",NA,NA,"","male",0,"Democrat","University of California, Davis",NA,NA,"Georgetown University",-0.821,15,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,1,0
"75","Nicola T. Hanna","U.S. Attorney for the C.D. of California","prosecutor","1/5/2018","1961-09-19",59,"","male",0,"Republican","University of California, San Diego",NA,NA,"Georgetown University",-0.821,15,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,1,0
"76","Noel Francisco","Principal Deputy Solicitor General","justicedept",NA,NA,NA,NA,NA,NA,NA,"University of Chicago",NA,NA,"University of Chicago",-0.833,4,0,0,0,1,0,0,0,0,1,0,1,1,0,1,1,NA,NA,NA,NA,0,0
"77","Peter Deegan","U.S. Attorney for the N.D. of Iowa","prosecutor","9/21/2017","1970-01-01",50,"Port Huron","male",0,"Republican","University of Notre Dame",NA,NA,"Wayne State University",-0.311,64,0,0,0,0,0,0,0,0,1,1,0,0,0,NA,NA,NA,NA,NA,NA,1,0
"78","Peter G. Strasser","U.S. Attorney for the E.D. of Louisiana","prosecutor","9/10/2018",NA,NA,"","male",0,NA,"University of Virginia",NA,NA,"Washington and Lee University",-0.401,29,0,0,0,0,0,0,0,0,1,1,0,0,0,NA,NA,NA,NA,NA,NA,1,0
"79","Peter M. McCoy Jr.","U.S. Attorney for the District of South Carolina","prosecutor","3/30/2020","1978-08-20",42,"Charleston","male",NA,"Republican","Hampden-Sydney College",NA,NA,"Regent University",0.264,102,0,0,0,0,0,0,0,0,1,1,0,1,0,NA,NA,NA,NA,1,NA,0,0
"80","R. Andrew Murray","U.S. Attorney for the W.D. of North Carolina","prosecutor","11/27/2017",NA,NA,"","male",0,"Republican","University of North Carolina at Charlotte",NA,NA,"University of North Carolina, Chapel Hill",-0.391,43,0,0,0,0,0,0,0,0,1,1,0,0,0,NA,NA,NA,NA,NA,NA,0,1
"81","R. Trent Shores","U.S. Attorney for the N.D. of Oklahoma","prosecutor","10/21/2017",NA,NA,"","male",0,"Republican","Vanderbilt University",NA,NA,"University of Oklahoma",0.062,77,0,0,0,0,0,0,0,0,1,1,0,1,0,1,NA,NA,NA,NA,NA,1,0
"82","Rachel L. Brand","Associate Attorney General","justicedept",NA,NA,NA,NA,NA,NA,NA,"University of Minnesota - Morris",NA,NA,"Harvard University",-0.816,1,0,0,0,0,0,0,0,0,1,0,0,1,0,1,NA,NA,NA,NA,NA,0,1
"83","Richard Donoghue","U.S. Attorney for the E.D. of New York",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,0,0
"84","Richard W. Moore","U.S. Attorney for the S.D. of Alabama","prosecutor","9/22/2017","1952-01-01",68,"Bartow","male",0,"None","Spring Hill College",NA,NA,"Cumberland University",0.382,148,0,0,0,0,0,0,0,0,1,1,0,0,0,NA,NA,NA,NA,NA,NA,1,0
"85","Robert Higdon Jr.","U.S. Attorney for the E.D. of North Carolina","prosecutor","10/10/2017",NA,NA,"","male",0,NA,"Wake Forest University",NA,NA,"Wake Forest University",-0.349,36,0,0,0,0,0,0,0,0,1,1,1,0,0,NA,NA,NA,NA,NA,NA,1,0
"86","Robert K. Hur","U.S. Attorney for the District of Maryland",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,1,0,0,0,0,1,0,1,0,0,NA,NA,NA,NA,NA,NA,0,0
